LOCCODE,PreK_Type,Borough,LocName,NOTE,phone,address,Postcode,Day_Length,Seats,X,Y,Email,Website,MEALS,INDOOR_OUTDOOR,EXTENDED_DAY,SEMS_CODE,Latitude,Longitude,Community Board,Council District ,Census Tract,BIN,BBL,NTA
K001,DOE,K,P.S. 001 The Bergen,,718-567-7661,309 47 St,11220,1,125,980985,175780,aramos4@schools.nyc.gov,http://schools.nyc.gov/schoolportals/15/k001,2,3,3,15K001,40.649042,-74.012289,7,38,80,3011821,3007550022,Sunset Park West                                                           
K003,DOE,K,P.S. 003 The Bedford Village,,718-622-2960,50 Jefferson Ave,11216,1,90,996604,187904,kbeeche@schools.nyc.gov,http://schools.nyc.gov/schoolportals/13/k003,2,3,3,13K003,40.682663,-73.955338,3,36,227,3057406,3019980001,Clinton Hill                                                               
K005,DOE,K,P.S. 005 Dr. Ronald Mcnair,,718-574-2333,820 Hancock St,11233,1,36,1005773,189031,lgates@schools.nyc.gov,http://schools.nyc.gov/schoolportals/16/k005,2,3,3,16K005,40.685695,-73.922463,3,41,377,3039906,3014900001,Stuyvesant Heights                                                         
K007,DOE,K,P.S. 007 Abraham Lincoln,,718-647-3600,858 Jamaica Ave,11208,1,36,1019458,190490,cnoel@schools.nyc.gov,http://schools.nyc.gov/schoolportals/19/k007,5,9,3,19K007,40.689697,-73.873109,5,37,118201,3090998,3041060039,Cypress Hills-City Line                                                    
K009,DOE,K,P.S. 009 Teunis G Bergen,,718-638-3260,80 Underhill Ave,11238,1,90,993700,186368,sdavila@schools.nyc.gov,http://ps9brooklyn.org,2,3,3,13K009,40.678297,-73.965541,8,35,205,3028204,3011450026,Prospect Heights                                                           
K011,DOE,K,P.S. 011 Purvis J Behan,,718-638-2661,419 Waverly Ave,11238,1,72,993685,189033,awright3@schools.nyc.gov,http://schools.nyc.gov/schoolportals/13/k011,2,3,3,13K011,40.685491,-73.966291,2,35,199,3332865,3019620010,Clinton Hill                                                               
K012,DOE,K,Dr. Jacqueline Peek - Davis School,,718-953-4569,430 Howard Ave,11233,1,72,1006488,184472,gthom2@schools.nyc.gov,http://schools.nyc.gov/schoolportals/17/k012,2,3,3,17K012,40.673073,-73.919594,16,41,363,3039174,3014570032,Ocean Hill                                                                 
K013,DOE,K,P.S. 013 Roberto Clemente,,718-498-3717,557 Pennsylvania Ave,11207,1,36,1013831,181130,mcameron2@schools.nyc.gov,http://schools.nyc.gov/schoolportals/19/k013,2,3,3,19K013,40.663673,-73.893754,5,42,1126,3085070,3038230001,East New York (Pennsylvania Ave)                                           
K015,DOE,K,P.S. 015 Patrick F Daly,,718-330-9280,71 Sullivan St,11231,1,84,981053,185943,pwyns@schools.nyc.gov,http://ps15patrickfdaly.org,3,3,1,15K015,40.677343,-74.011558,6,38,53,3008585,3005660001,Carroll Gardens-Columbia Street-Red Hook                                   
K016,DOE,K,P.S. 016 Leonard Dunkly,,718-782-5352,157 Wilson St,11211,1,72,994790,196466,mrenny@schools.nyc.gov,http://schools.nyc.gov/schoolportals/14/k016,2,3,3,14K016,40.706023,-73.961476,1,33,535,3059906,3021770001,Williamsburg                                                               
K017,DOE,K,P.S. 017 Henry D Woodworth,,718-387-2929,208 North 5 St,11211,1,28,996201,199850,rmarchi@schools.nyc.gov,http://schools.nyc.gov/schoolportals/14/k017,2,3,3,14K017,40.715351,-73.956716,1,34,519,3062337,3023450001,North Side-South Side                                                      
